"Order";"Level";"Sorting code";"Parent";"Code";"Description";"Remark"
"1644513";"1";"2210";;"HU009M";"Székesfehérvár";
"1644514";"1";"2220";;"HU_NM";"Non-metropolitan regions in Hungary";
"1644515";"1";"2230";;"MT001MC";"Valletta";
"1644516";"1";"2240";;"MT_NM";"Non-metropolitan regions in Malta";
"1644517";"1";"2250";;"NL001M";"s' Gravenhage";
"1644518";"1";"2260";;"NL002MC";"Amsterdam";
"1644519";"1";"2270";;"NL002MC_10";"Amsterdam (NUTS 2010)";
"1644520";"1";"2280";;"NL003M";"Rotterdam";
"1644521";"1";"2290";;"NL004M";"Utrecht";
"1644522";"1";"2300";;"NL005M";"Eindhoven";
"1644523";"1";"2310";;"NL006M";"Tilburg";
"1644524";"1";"2320";;"NL007M";"Groningen";
"1644525";"1";"2330";;"NL007M_10";"Groningen (NUTS 2010)";
"1644526";"1";"2340";;"NL008M";"Enschede";
"1644527";"1";"2350";;"NL009M";"Arnhem - Nijmegen";
"1644528";"1";"2360";;"NL010M";"Heerlen";
"1644529";"1";"2370";;"NL012M";"Breda";
"1644530";"1";"2380";;"NL503M";"s-Hertogenbosch";
"1644531";"1";"2390";;"NL507M";"Leiden";
"1644532";"1";"2400";;"NL_NM";"Non-metropolitan regions in Netherlands";
"1644533";"1";"2410";;"AT001MC";"Wien";
"1644534";"1";"2420";;"AT002M";"Graz";
"1644535";"1";"2430";;"AT003M";"Linz";
"1644536";"1";"2440";;"AT004M";"Salzburg";
"1644537";"1";"2450";;"AT005M";"Innsbruck";
"1644538";"1";"2460";;"AT_NM";"Non-metropolitan regions in Austria";
"1644539";"1";"2470";;"PL001MC";"Warszawa";
"1644540";"1";"2480";;"PL002M";"Lódz";
"1644541";"1";"2490";;"PL003M";"Kraków";
"1644542";"1";"2500";;"PL004M";"Wroclaw";
"1644543";"1";"2510";;"PL005M";"Poznan";
"1644544";"1";"2520";;"PL006M";"Gdansk";
"1644545";"1";"2530";;"PL007M";"Szczecin";
"1644546";"1";"2540";;"PL008M";"Bydgoszcz - Torún";
"1644547";"1";"2550";;"PL009M";"Lublin";
"1644548";"1";"2560";;"PL010M";"Katowice";
"1644549";"1";"2570";;"PL011M";"Bialystok";
"1644550";"1";"2580";;"PL012M";"Kielce";
"1644551";"1";"2590";;"PL014M";"Olsztyn";
"1644552";"1";"2600";;"PL015M";"Rzeszów";
"1644553";"1";"2610";;"PL016M";"Opole";
"1644554";"1";"2620";;"PL024M";"Czestochowa";
"1644555";"1";"2630";;"PL025M";"Radom";
"1644556";"1";"2640";;"PL027M";"Kalisz";
"1644557";"1";"2650";;"PL506M";"Bielsko-Biala";
"1644558";"1";"2660";;"PL511M";"Walbrzych";
"1644559";"1";"2670";;"PL513M";"Wloclawek";
"1644560";"1";"2680";;"PL514M";"Tarnów";
"1644561";"1";"2690";;"PL_NM";"Non-metropolitan regions in Poland";
"1644562";"1";"2700";;"PT001MC";"Lisboa";
"1644563";"1";"2710";;"PT002M";"Porto";
"1644564";"1";"2720";;"PT002M_10";"Porto (NUTS 2010)";
"1644565";"1";"2730";;"PT005M";"Coimbra";
"1644566";"1";"2740";;"PT_NM";"Non-metropolitan regions in Portugal";
"1644567";"1";"2750";;"RO001MC";"Bucuresti";
"1644568";"1";"2760";;"RO001MC_10";"Bucuresti (NUTS 2010)";
"1644569";"1";"2770";;"RO002M";"Cluj-Napoca";
"1644570";"1";"2780";;"RO003M";"Timisoara";
"1644571";"1";"2790";;"RO004M";"Craiova";
